item	type	count
WORD/thought	word	247520
WORD/winner	word	247507
WORD/got	word	247123
WORD/actress	word	246845
WORD/speed	word	246650
WORD/jersey	word	246610
WORD/queen	word	246507
WORD/parish	word	246261
WORD/dutch	word	246164
WORD/terms	word	246151
WORD/spain	word	246146
WORD/earth	word	245715
WORD/takes	word	245617
WORD/commander	word	245601
WORD/corps	word	245580
WORD/majority	word	244758
WORD/1944	word	244568
WORD/temple	word	244470
WORD/stars	word	244425
WORD/lee	word	244312
WORD/minor	word	244093
WORD/poland	word	243896
WORD/flight	word	243689
WORD/genus	word	243544
WORD/junior	word	243459
WORD/ancient	word	243450
WORD/turn	word	243433
WORD/matches	word	243097
WORD/nations	word	243054
WORD/volume	word	243002
WORD/assistant	word	242934
WORD/changes	word	242654
WORD/subsequently	word	242638
WORD/meeting	word	242394
WORD/russia	word	242353
WORD/increased	word	242113
WORD/notable	word	242075
WORD/score	word	242055
WORD/rugby	word	241909
WORD/double	word	241367
WORD/mostly	word	241237
WORD/need	word	241098
WORD/starting	word	240099
WORD/becoming	word	239988
WORD/decision	word	239967
WORD/caused	word	239744
WORD/appears	word	239717
WORD/entire	word	239637
WORD/create	word	239595
WORD/care	word	239570
WORD/oil	word	239415
WORD/fight	word	239086
WORD/particularly	word	238456
WORD/friend	word	238319
WORD/certain	word	238287
WORD/digital	word	237999
WORD/remains	word	237973
WORD/1962	word	237421
WORD/1963	word	237416
WORD/vice	word	237367
WORD/material	word	237238
WORD/singles	word	237198
WORD/always	word	237187
WORD/chart	word	236994
WORD/uses	word	236837
WORD/rate	word	236600
WORD/master	word	236502
WORD/studied	word	235964
WORD/variety	word	235825
