item	type	count
WORD/sieg	word	94442
WORD/werner	word	94422
WORD/polen	word	94345
WORD/früher	word	94186
WORD/60	word	94186
WORD/besitzt	word	94068
WORD/berg	word	94022
WORD/hilfe	word	93746
WORD/heiratete	word	93663
WORD/müssen	word	93571
WORD/dar	word	93483
WORD/herrschaft	word	93427
WORD/groß	word	93366
WORD/grenze	word	93153
WORD/familienname	word	93044
WORD/hohe	word	93001
WORD/laut	word	92907
WORD/erreichen	word	92815
WORD/firma	word	92712
WORD/leitung	word	92702
WORD/internationale	word	92616
WORD/entwickelt	word	92600
WORD/1912	word	92478
WORD/leiter	word	92433
WORD/1921	word	92348
WORD/damaligen	word	92312
WORD/trainer	word	92284
WORD/will	word	92109
WORD/bild	word	91941
WORD/rang	word	91867
WORD/jeder	word	91726
WORD/zuletzt	word	91386
WORD/china	word	91316
WORD/spd	word	91221
WORD/zeitung	word	91149
WORD/nord	word	90841
WORD/1923	word	90797
WORD/1922	word	90592
WORD/weit	word	90485
WORD/stil	word	90452
WORD/wahl	word	90436
WORD/östlich	word	90247
WORD/vorsitzender	word	90067
WORD/hessen	word	89929
WORD/beträgt	word	89758
WORD/stiftung	word	89691
WORD/vermutlich	word	89459
WORD/westlich	word	89417
WORD/württemberg	word	89395
WORD/historischen	word	88964
WORD/deshalb	word	88698
WORD/stellen	word	88451
WORD/rennen	word	88400
WORD/staffel	word	88338
WORD/ausgabe	word	88332
WORD/runde	word	88312
WORD/tour	word	88289
WORD/beste	word	88168
WORD/regel	word	88115
WORD/späteren	word	88078
WORD/wenige	word	88070
WORD/gold	word	88006
WORD/bürgermeister	word	87926
WORD/records	word	87919
WORD/katholischen	word	87913
WORD/hochschule	word	87856
WORD/en	word	87831
WORD/wohl	word	87545
WORD/union	word	87262
WORD/einzelnen	word	87182
WORD/verbunden	word	87181
WORD/andreas	word	87174
WORD/stadtteil	word	87079
WORD/1913	word	86861
WORD/anna	word	86802
WORD/zahl	word	86729
WORD/machen	word	86553
WORD/del	word	86293
WORD/bald	word	86252
WORD/ehemaliger	word	86212
WORD/düsseldorf	word	86202
WORD/text	word	86098
WORD/denn	word	86075
WORD/zuge	word	85870
WORD/fanden	word	85682
WORD/viel	word	85381
WORD/halle	word	84577
WORD/funktion	word	84487
WORD/gattung	word	84399
WORD/200	word	84277
